
 Oxidised N;

year;OR1;OR2;OR3;OR4;OR5;EEZ100;EEZ1065;EEZ1071;EEZ108;EEZ109;EEZ110;EEZ1100;EEZ119;EEZ1213;EEZ185;EEZ188;EEZ189;EEZ190;EEZ191;EEZ2065;EEZ209;EEZ2100;EEZ212;EEZ213;EEZ215;EEZ216;EEZ2209;EEZ2213;EEZ2216;EEZ224;EEZ273;EEZ3108;EEZ3209;EEZ3213;EEZ4091;EEZ4209;EEZ4213;EEZ4273;EEZ48;EEZ5065;EEZ5071;EEZ5091;EEZ5100;EEZ5108;EEZ5209;EEZ5213;EEZ5273;EEZ65;EEZ71;EEZ91;EEZ99
2005;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2006;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2007;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2008;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2009;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2010;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2011;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2012;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2013;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2014;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2015;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2016;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2017;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2018;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2019;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0
2020;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0;       0.0

 Reduced N;

year;OR1;OR2;OR3;OR4;OR5;EEZ100;EEZ1065;EEZ1071;EEZ108;EEZ109;EEZ110;EEZ1100;EEZ119;EEZ1213;EEZ185;EEZ188;EEZ189;EEZ190;EEZ191;EEZ2065;EEZ209;EEZ2100;EEZ212;EEZ213;EEZ215;EEZ216;EEZ2209;EEZ2213;EEZ2216;EEZ224;EEZ273;EEZ3108;EEZ3209;EEZ3213;EEZ4091;EEZ4209;EEZ4213;EEZ4273;EEZ48;EEZ5065;EEZ5071;EEZ5091;EEZ5100;EEZ5108;EEZ5209;EEZ5213;EEZ5273;EEZ65;EEZ71;EEZ91;EEZ99
1995;    0.4162;    7.7361;     8.126;   34.9425;     1.672;    0.7578;    0.2106;    0.0289;    1.9062;    4.6386;    1.8023;   23.3226;   17.3823;   23.9501;    0.6237;   47.3582;    0.0046;    2.7349;  104.0214;    4.0371;   57.4208;   10.5454;   58.6463;   33.9889;    3.1382;   26.4723;   21.2544;    8.0808;   35.2255;     6.549;   28.5447;    0.1374;   23.1583;    6.4319;    1.7185;    2.7463;    3.9022;     0.201;   13.6882;    0.1873;    8.1059;    3.3141;   10.0783;   10.8723;   10.4511;    0.3372;    73.858;  178.3608;   64.9464;   59.1645;   90.3168
1996;    0.7852;    14.989;   12.3313;   49.4607;    2.0659;    0.8553;    0.3946;    0.0436;    3.7765;    4.6662;    1.9934;   25.5179;   18.6374;    26.449;    1.1738;   55.1554;    0.0097;    5.7017;  148.2314;    6.8598;   84.0192;   12.3616;   86.8273;   47.0444;    6.4853;   33.7142;   26.8932;    8.3967;   45.1584;    6.9301;   34.1515;    0.1916;   29.5672;    4.4559;    2.9668;    2.9057;    3.9666;    0.3809;   22.5676;    0.2455;   12.2776;    4.1469;   19.1296;    15.237;   10.8966;    0.4522;  114.8497;  228.6833;   80.8874;   72.0304;  113.0843
1997;     0.553;    8.7482;    9.5248;   40.0964;     1.886;    0.7741;    0.2714;    0.0414;    2.1333;    4.9563;    1.8778;   25.4051;   19.3962;   28.1896;    0.6857;   48.8354;    0.0055;    2.4477;  116.9362;    3.0149;   60.1149;   11.2098;   68.3536;     37.57;    2.6858;   30.3161;   22.2413;    7.8183;   37.1736;    7.5373;   29.6017;    0.1815;   25.9243;    5.4769;     2.509;     3.118;     4.176;    0.2761;   17.8551;    0.2056;    9.0942;    4.3918;   11.9429;   12.6428;   11.7133;    0.3946;    64.479;  201.3805;   67.6529;   64.1576;   107.874
1998;    0.2941;    6.2386;    6.3391;   27.4653;    1.4718;     0.703;    0.1524;    0.0249;    1.8757;    5.1855;    2.0515;   25.3279;    20.673;    28.004;     0.561;   44.0449;     0.004;    1.9943;  106.1747;    3.0832;   53.5718;   10.6747;   65.8503;   37.1083;    2.9077;   27.6807;    17.632;    6.4714;   32.7424;    6.4724;   26.7137;    0.1446;   24.2771;    4.1717;    1.2994;    1.9715;    3.5143;    0.1377;    9.8333;    0.1851;    5.5616;    3.4036;     8.099;    8.3106;    9.9867;    0.3427;   53.3697;  198.7142;   57.2212;   58.4228;   66.8366
1999;    0.2587;    5.5039;   10.8554;   26.2862;     1.367;    0.6633;    0.1289;    0.0387;    1.6937;    6.1913;    1.9783;   24.7042;   18.5843;   28.3203;    0.3592;   48.4462;    0.0028;    3.8452;   99.0877;    4.0586;   62.9734;   10.5497;   59.4423;   40.2297;    2.6592;   30.5028;   16.9643;    6.9637;    32.301;    7.3249;   30.7956;    0.1041;   26.7898;    5.5505;    1.6091;    3.4166;    4.7409;     0.127;    9.3219;    0.1372;    5.5466;     3.713;    7.4722;    14.272;   12.0658;    0.4059;   69.2708;  193.4873;   56.6175;   65.7244;   73.2587
2000;    0.2914;    4.7306;    6.4237;   25.8537;     1.607;    0.7709;    0.1504;    0.0175;    1.5486;     6.507;    2.2307;   28.8662;   22.5233;   32.9555;    0.4351;   47.5951;    0.0034;    2.1866;  101.2428;    3.0661;   60.1014;   11.7904;   64.0005;   42.4958;    2.6144;   29.1489;   16.9656;    7.4651;   31.2152;     7.093;   28.1663;    0.1421;   25.0537;    5.9237;    1.0087;    1.1842;    3.5024;    0.1376;    8.8881;    0.1732;    4.3363;    4.0952;    6.1744;    7.6079;   10.5954;    0.3887;   54.4968;  215.3642;   56.0264;   61.2446;   67.2722
2001;    0.3902;     5.565;    7.6265;   28.6692;    1.6844;    0.7884;    0.2007;    0.0296;    1.4535;    5.0679;    2.2542;   26.7669;   20.8273;   26.6082;    0.4725;   47.6988;    0.0047;    1.4905;  111.4101;    1.6757;    48.207;   12.0911;   70.4519;   33.2927;    1.5003;   30.4381;   17.8865;    6.9293;   33.1396;    7.1908;   28.5042;    0.1215;   27.1003;    4.0449;    1.5513;    2.0109;    3.9618;    0.1848;   10.7827;    0.1743;    6.2436;    3.3378;    7.5888;    9.6374;   11.1526;    0.4155;   45.5799;  201.3436;   58.3257;   63.6561;   65.2965
2002;    0.4205;    9.2424;    13.363;   30.1879;    1.6104;    0.7924;    0.2039;    0.0401;    2.3507;    4.5833;    2.2938;   28.5857;   22.8135;   27.6387;    0.6354;    48.413;    0.0053;    4.9614;  117.2457;    3.3645;   60.6995;   11.2618;   71.4083;   38.3328;     5.902;   32.2538;   18.1276;    7.0303;   34.6803;    6.8169;   29.9368;    0.1454;   28.9565;    4.7823;    2.0347;    2.7085;    3.2412;    0.2113;   12.0604;    0.1842;    8.6609;    3.2972;   11.9126;   16.0715;   10.0581;    0.4237;   77.4699;  211.0339;   60.2246;   66.6562;   71.8469
